term,estimate,std_error,t_value,pr(>|t|),25pct,975pct,model,outcome,scale,sample,n,label
nycha,-6.118535328661877,1.6306762010662004,-3.752146088022464,0.00017988895807219407,-9.316370925165735,-2.9206997321580186,cond_violrate,violations per inspection (pp),pp,inspected,135576,NYCHA
govt,4.876077404309138,1.9304152545849196,2.525921504571615,0.011609571458558898,1.0904388985717852,8.66171591004649,cond_violrate,violations per inspection (pp),pp,inspected,135576,Other government owner
owner_occ_star,-3.5441119569392123,0.328299943781164,-10.79534743783454,0.0,-4.187924165559899,-2.9002997483185253,cond_violrate,violations per inspection (pp),pp,inspected,135576,Owner-occupied (STAR)
is_coop,-1.2528498239954289,0.6279005985922584,-1.995299617175545,0.04613402214302664,-2.4841935352310163,-0.021506112759841267,cond_violrate,violations per inspection (pp),pp,inspected,135576,Co-op building
is_condo,-1.5879975681792509,0.5768325385352624,-2.7529611491952526,0.005954662969999802,-2.7191943218595114,-0.45680081449899035,cond_violrate,violations per inspection (pp),pp,inspected,135576,Condominium
era_pre1940,5.8548495922031165,0.36972464963168283,15.835702591200445,0.0,5.129801514157907,6.579897670248326,cond_violrate,violations per inspection (pp),pp,inspected,135576,Built before 1940 (vs 2000+)
era_4079,5.354324162004099,0.45275393084455373,11.826124075866778,0.0,4.4664516122206965,6.242196711787502,cond_violrate,violations per inspection (pp),pp,inspected,135576,Built 1940-1979 (vs 2000+)
era_8099,3.7071592380777236,0.7783836847680277,4.762637386448463,2.035972544778275e-06,2.1807108522721683,5.2336076238832785,cond_violrate,violations per inspection (pp),pp,inspected,135576,Built 1980-1999 (vs 2000+)
era_unknown,0.6888936748951319,1.6488344979005776,0.4178064419274852,0.676129637329514,-2.5445512277057234,3.9223385774959874,cond_violrate,violations per inspection (pp),pp,inspected,135576,Construction year unknown
mzone,1.9071600856355906,0.9538322556177372,1.9994711590042034,0.04568085143518896,0.03664849166394424,3.777671679607237,cond_violrate,violations per inspection (pp),pp,inspected,135576,Manufacturing zoning
multi_bldg,-0.2298767458574325,0.2965030341735195,-0.7752930640261309,0.43825028840435754,-0.8113336632586499,0.3515801715437848,cond_violrate,violations per inspection (pp),pp,inspected,135576,Multiple buildings on lot
com_class,2.8865377294951653,0.6088974937932061,4.740597159487557,2.2679600781838616e-06,1.6924600339963436,4.0806154249939866,cond_violrate,violations per inspection (pp),pp,inspected,135576,Commercial/mixed building class (S/K/O)
log_bldgarea,-0.032746698307171265,0.5986304786436507,-0.054702691352046126,0.9563803193690448,-1.2066902761352833,1.1411968795209406,cond_violrate,violations per inspection (pp),pp,inspected,135576,Log total floor area
log2_area_per_unit,-0.264955008320167,0.4698178432589066,-0.563952629985907,0.5728441683466916,-1.186290722954178,0.6563807063138438,cond_violrate,violations per inspection (pp),pp,inspected,135576,Floor area per unit (per doubling)
value_rank,-5.877265761741961,0.5727147197175269,-10.26211752448188,0.0,-7.000387271798319,-4.754144251685602,cond_violrate,violations per inspection (pp),pp,inspected,135576,Assessed value rank within type (0-1)
any_prior_viol,5.246718596124397,0.2625332427898354,19.984968533392664,0.0,4.731878097127722,5.761559095121073,cond_violrate,violations per inspection (pp),pp,inspected,135576,Any violation 2010-2019
llc,0.7686051046066245,0.2904523895720635,2.6462343991696704,0.00819765358372937,0.19901379650029893,1.33819641271295,cond_violrate_catadj,"violations per inspection, category-adjusted (pp)",pp,inspected,135576,LLC owner (vs individual)
corp_other,0.42258955189518066,0.3885728967726888,1.0875425316717116,0.2769168970144762,-0.3394208584633366,1.184599962253698,cond_violrate_catadj,"violations per inspection, category-adjusted (pp)",pp,inspected,135576,Corporate/org owner (vs individual)
