word,z,n_agency,n_caller
office,-18.64257119044309,191,3737
least,-18.569807312509802,29,4487
term,-18.53236889120008,48,3474
individual,-18.498402335541424,83,3184
never,-18.438021237031293,25,4887
concern,-18.365516309882086,214,3816
four,-18.351468532531346,51,3328
name,-18.29735078919503,30,4177
hanging,-18.205424556525724,221,3822
shake,-18.197272640659552,39,3571
keep,-18.16957538451297,26,4502
cement,-18.129756988320423,45,3347
ventilation,-18.09016188690587,57,3135
saturday,-18.034199251298357,34,3712
different,-18.018251351637982,31,3896
rent,-17.99893169185068,18,6020
smoke,-17.987670058041793,122,3148
food,-17.86756596249189,59,3029
odor,-17.827096340926488,49,3126
across,-17.738258724706974,39,3322
plate,-17.698999097776127,112,3018
brooklyn,-17.67966648790941,16,6340
start,-17.658856241560702,206,3583
yesterday,-17.623275396638768,31,3634
small,-17.571126951155247,104,2946
again,-17.558588859840246,20,4931
build,-17.53176091104183,72,2861
vacant,-17.470934609205127,430,5075
multiple,-17.366477700818184,1043,9031
away,-17.323093172781924,41,3058
run,-17.287735062013045,42,3018
previou,-17.270364110621195,76,2777
line,-17.201267559896987,952,8412
entire,-17.066538997039153,517,5561
leave,-17.04109192060604,23,3944
enter,-16.995541331240005,88,2721
caused,-16.92792465790795,120,2852
own,-16.921230457725432,63,2671
walking,-16.827430551501653,114,2793
cannot,-16.80125505346401,17,4840
super,-16.761680470238886,646,6335
completely,-16.613442806351866,41,2742
directly,-16.583238919557818,37,2817
until,-16.536346812321614,18,4317
leaking,-16.46798845121799,113,2696
believe,-16.394764640191717,15,4973
half,-16.375272831370193,61,2498
already,-16.342768295785806,18,4130
attic,-16.2548024587715,149,2866
him,-16.182886796141492,152,2869
fixed,-16.181550980688012,15,4717
shut,-16.162340665422615,206,3230
stove,-16.136561163397324,168,2965
took,-16.11505501232098,107,2575
lobby,-16.09619236105715,84,2459
contact,-16.066605343037043,195,3133
whole,-15.917729365952493,20,3450
